isin,company_name,issue_name,value,unit,more?,more?,more?,more?,more?,more?
US0718131099,Baxter International Inc,Carbon Emissions,586560,MMt,millions of metric tons of CO2 equivalents,,,,,
US0718131099,Baxter International Inc,Energy Use,2852.777778,MWh,megawatt-hours,,,,,
US0718131099,Baxter International Inc,Water Consumption,0.014,KM3,cubic kilometers,,,,,
US0718131099,Baxter International Inc,CEO Compensation Ratio,353:1,,,,,,,
US0718131099,Baxter International Inc,Women in Leadership,37%,,,,,,,
US0718131099,Baxter International Inc,Women on Board,25%,,,,,,,
US0718131099,Baxter International Inc,Board Independence,92%,,,,,,,
CH0432492467,Alcon Inc,Carbon Emissions,356258,MMt,millions of metric tons of CO2 equivalents,,,,,
CH0432492468,Alcon Inc,Energy Use,211388888.9,MWh,megawatt-hours,,,,,
CH0432492469,Alcon Inc,Water Consumption,0.95,KM3,cubic kilometers,,,,,
CH0432492470,Alcon Inc,CEO Compensation Ratio,59:1,,,,,,,
CH0432492471,Alcon Inc,Women in Leadership,31%,,,,,,,
CH0432492472,Alcon Inc,Women on Board,30%,,,,,,,
CH0432492473,Alcon Inc,Board Independence,70%,,,,,,,
NL0000388619,Unilever NV,Carbon Emissions,3000000,MMt,millions of metric tons of CO2 equivalents,,,,,
NL0000388619,Unilever NV,Energy Use,7102528.53,MWh,megawatt-hours,,,,,
NL0000388619,Unilever NV,Water Consumption,0.012251,KM3,cubic kilometers,,,,,
NL0000388619,Unilever NV,CEO Compensation Ratio,61:1,,,,,,,
NL0000388619,Unilever NV,Women in Leadership,31%,,,,,,,
NL0000388619,Unilever NV,Women on Board,46%,,,,,,,
NL0000388619,Unilever NV,Board Independence,10%,,,,,,,
US30303M1027,Facebook Inc,Carbon Emissions,"252,000",MMt,millions of metric tons of CO2 equivalents,,,,,
US30303M1027,Facebook Inc,Energy Use,5140000,MWh,megawatt-hours,,,,,
US30303M1027,Facebook Inc,Water Consumption,0.0034,KM3,cubic kilometers,,,,,
US30303M1027,Facebook Inc,CEO Compensation Ratio,220:1,,,,,,,
US30303M1027,Facebook Inc,Women in Leadership,29%,,,,,,,
US30303M1027,Facebook Inc,Women on Board,40%,,,,,,,
US30303M1027,Facebook Inc,Board Independence,40%,,,,,,,
BRB3SAACNOR6,B3 SA - Brasil Bolsa Balcao,Carbon Emissions,"299,942,413",MMt,millions of metric tons of CO2 equivalents,,,,,
BRB3SAACNOR6,B3 SA - Brasil Bolsa Balcao,Energy Use,27352.778,MWh,megawatt-hours,,,,,
BRB3SAACNOR6,B3 SA - Brasil Bolsa Balcao,Water Consumption,0.041643,KM3,cubic kilometers,,,,,
BRB3SAACNOR6,B3 SA - Brasil Bolsa Balcao,CEO Compensation Ratio,25:1,,,,,,,
BRB3SAACNOR6,B3 SA - Brasil Bolsa Balcao,Women in Leadership,22%,,,,,,,
BRB3SAACNOR6,B3 SA - Brasil Bolsa Balcao,Women on Board,28%,,,,,,,
BRB3SAACNOR6,B3 SA - Brasil Bolsa Balcao,Board Independence,100%,,,,,,,